id,name,artist,explicit,popularity,danceability,energy,loudness,speechiness,duration_ms,duena,carita
2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,Ed Sheeran,False,70,0.838,0.492,-5.69,0.038,237333,mile,https://www.pngarts.com/files/5/Ed-Sheeran-Transparent-Background-PNG.png
5LTzAKRZ2Xct8d6vVrErha,Don't,Ed Sheeran,False,45,0.806,0.608,-7.008,0.0659,219840,mile,https://www.pngarts.com/files/5/Ed-Sheeran-Transparent-Background-PNG.png
2L6ypr3l5t5mLkY3lXIpZE,Thinking out Loud,Ed Sheeran,False,56,0.781,0.445,-6.061,0.0295,281560,mile,https://www.pngarts.com/files/5/Ed-Sheeran-Transparent-Background-PNG.png
5sA4n1wolLZk2YpBLbsCqj,Sing,Ed Sheeran,False,45,0.818,0.67,-4.451,0.0472,235382,mile,https://www.pngarts.com/files/5/Ed-Sheeran-Transparent-Background-PNG.png
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,False,83,0.65,0.825,-4.645,0.0325,191014,delfi,
7oDd86yk8itslrA9HRP2ki,Die For You - Remix,The Weeknd,False,92,0.531,0.525,-6.5,0.0671,232857,delfi,
5OCJzvD7sykQEKHH7qAC3C,God is a woman,Ariana Grande,True,80,0.602,0.658,-5.934,0.0558,197547,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
3nef5W8jTkXrOKgCu4kmq7,Dangerous Woman,Ariana Grande,False,76,0.662,0.602,-5.369,0.0401,235947,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
39LmTF9RgyakzSYX8txrow,imagine,Ariana Grande,True,70,0.729,0.475,-4.985,0.0364,212267,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
1TEL6MlSSVLSdhOSddidlJ,needy,Ariana Grande,True,73,0.647,0.309,-7.948,0.0366,171573,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
4uTvPEr01pjTbZgl7jcKBD,NASA,Ariana Grande,False,67,0.747,0.458,-6.891,0.303,182000,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
3wFLWP0FcIqHK1wb1CPthQ,fake smile,Ariana Grande,True,66,0.45,0.619,-7.412,0.372,208880,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
4T652DlATVHe0jdLKaN3Bw,in my head,Ariana Grande,True,72,0.662,0.6,-6.402,0.0703,222947,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,True,86,0.778,0.317,-10.732,0.334,178627,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
30TmLgK0ja5O8q9l4BShIX,Everyday,Ariana Grande,True,67,0.637,0.733,-4.387,0.0553,194840,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
3j6Vua6G9chRUJ9dTiOh7k,Sometimes,Ariana Grande,False,54,0.394,0.666,-5.383,0.25,226667,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
6WikCGNUbXFmXoLre7vjeW,Touch It,Ariana Grande,False,65,0.536,0.694,-4.369,0.0331,260000,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
4qtXU0epoC3zEmolXdBcu8,Bad Decisions,Ariana Grande,True,54,0.698,0.646,-5.368,0.0415,226427,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
212ecIiQ47VqrOLRTwXaMB,Knew Better / Forever Boy,Ariana Grande,False,54,0.484,0.38,-6.706,0.071,299213,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
1UujO43qVZnWObydH4MLT5,Thinking Bout You,Ariana Grande,True,60,0.507,0.697,-6.021,0.0616,200400,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
4hAUynwghvrqDXs1ejKNEq,Can't Help Falling In Love,Elvis Presley,False,66,0.438,0.325,-11.066,0.0268,177840,delfi,
452KBpASS5lZLeJWX9Ixub,Jailhouse Rock,Elvis Presley,False,73,0.623,0.537,-10.014,0.0726,146933,delfi,
7zMUCLm1TN9o9JlLISztxO,Burning Love,Elvis Presley,False,75,0.66,0.748,-11.206,0.0284,170293,delfi,
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,True,83,0.801,0.601,-7.574,0.255,182907,delfi,
4zzXm1QJQXWLyUfFhWZBRg,Don't Be Cruel,Elvis Presley,False,58,0.68,0.675,-7.998,0.191,122867,delfi,
2IfE8FhnPPEBSS4rL1qhBb,Heartbreak Hotel,Elvis Presley,False,55,0.694,0.295,-8.672,0.0611,127960,delfi,
6KDG8vvFerlCU63IXdw1zb,Suspicious Minds,Elvis Presley,False,61,0.542,0.722,-5.065,0.0262,272360,delfi,
1Uxk2dxmATlKH5quLX2iFG,If I Can Dream - Live from the '68 Comeback Special,Elvis Presley,False,66,0.346,0.62,-9.247,0.0432,200058,delfi,
